Group,Artifact,Version,Project,URL,License,Buildtime/Runtime,Mailinglist discussion,CQ,Comment,
,versioneye,,,,,Buildtime,https://dev.eclipse.org/mhonarc/lists/soa-pmc/msg02057.html,,,
,markdown-toc,,,https://github.com/jonschlinkert/markdown-toc,MIT,Buildtime,n/a,n/a,not required, because it is manually executed during build time
ch.qos.logback,logback-classic,1.1.1,,,,,,7920,,
ch.qos.logback,logback-core,1.1.1,,,,,,7926,,
com.fasterxml.jackson.core,jackson-annotations,2.8.0,,,,,,13809,,
com.fasterxml.jackson.core,jackson-core,2.8.6,,,,,,13807,,
com.fasterxml.jackson.core,jackson-databind,2.8.6,,,,,,13808,,
com.fasterxml.jackson.jaxrs,jackson-jaxrs-base,2.7.7,,,,,,13811,,
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.7.7,,,,,,13810,,
com.fasterxml.jackson.module,jackson-module-jaxb-annotations,2.7.7,,,,,,13811,,
com.fasterxml.jackson.module,jackson-module-jsonSchema,2.3.0,,,,,,13812,,
com.googlecode.javaewah,JavaEWAH,0.5.6,,,,,,8046,,
com.jcraft,jsch,0.1.46,,,,,,8045,,
com.sun.jersey.contribs,jersey-multipart,1.19.3,,,,,,,,
com.sun.jersey,jersey-client,1.19.3,,,,,,,,
com.sun.jersey,jersey-core,1.19.3,,,,,,,,
com.sun.jersey,jersey-server,1.19.3,,,,,,,,
com.sun.jersey,jersey-servlet,1.19.3,,,,,,,,
com.sun.xml.bind,jaxb-impl,2.2.5,,,,,,,,
commons-codec,commons-codec,1.3,,,,,,,,
commons-configuration,commons-configuration,1.9,,,,,,,,
commons-httpclient,commons-httpclient,3.1,,,,,,,,
commons-io,commons-io,2.4,,,,,,,,
commons-lang,commons-lang,2.6,,,,,,,,
javax.ws.rs,jsr311-api,1.1.1,,,,,,,,
jstl,jstl,1.2,,,,,,,,
org.apache.commons,commons-compress,1.6,,,,,,,,
org.apache.commons,commons-lang3,3.1,,,,,,,,
org.apache.tika,tika-core,1.3,,,,,,,,
org.jvnet.mimepull,mimepull,1.9.4,,,,,,,,
org.restdoc,restdoc-api,1.3.0,,,,,,,,
org.slf4j,jcl-over-slf4j,1.7.6,,,,,,,,
org.slf4j,slf4j-api,1.7.6,,,,,,,,
org.slf4j,slf4j-ext,1.7.2,,,,,,,,
org.tukaani,xz,1.3,,,,,,,,
xerces,xercesImpl,2.9.1,,,,,,,,
xml-apis,xml-apis,1.3.04,,,,,,,,
